time_id,scraping_date,year,quarter,month,day,day_name,is_weekend
478,2014-10-10,2014,4,10,10,Friday,False
479,2002-10-04,2002,4,10,4,Friday,False
480,1996-10-11,1996,4,10,11,Friday,False
481,2005-03-22,2005,1,3,22,Tuesday,False
482,2007-04-05,2007,2,4,5,Thursday,False
483,1999-10-15,1999,4,10,15,Friday,False
484,2012-12-19,2012,4,12,19,Wednesday,False
485,2001-10-08,2001,4,10,8,Monday,False
486,2001-08-17,2001,3,8,17,Friday,False
487,2002-08-29,2002,3,8,29,Thursday,False
488,2015-07-24,2015,3,7,24,Friday,False
489,2016-07-01,2016,3,7,1,Friday,False
490,2016-11-01,2016,4,11,1,Tuesday,False
491,2000-11-24,2000,4,11,24,Friday,False
492,2012-08-15,2012,3,8,15,Wednesday,False
493,1995-02-24,1995,1,2,24,Friday,False
494,1996-08-12,1996,3,8,12,Monday,False
495,1998-09-14,1998,3,9,14,Monday,False
496,2003-08-28,2003,3,8,28,Thursday,False
497,2015-11-02,2015,4,11,2,Monday,False
498,2015-05-05,2015,2,5,5,Tuesday,False
499,1996-09-19,1996,3,9,19,Thursday,False
500,2000-03-29,2000,1,3,29,Wednesday,False
501,1999-11-26,1999,4,11,26,Friday,False
502,1995-08-25,1995,3,8,25,Friday,False
503,2010-05-26,2010,2,5,26,Wednesday,False
504,2007-06-28,2007,2,6,28,Thursday,False
505,2011-12-08,2011,4,12,8,Thursday,False
506,2001-03-05,2001,1,3,5,Monday,False
507,1997-11-28,1997,4,11,28,Friday,False
508,1997-06-27,1997,2,6,27,Friday,False
509,2007-11-14,2007,4,11,14,Wednesday,False
510,2011-08-19,2011,3,8,19,Friday,False
511,1995-09-04,1995,3,9,4,Monday,False
512,2003-03-26,2003,1,3,26,Wednesday,False
513,2015-05-12,2015,2,5,12,Tuesday,False
514,1997-09-23,1997,3,9,23,Tuesday,False
515,2006-11-17,2006,4,11,17,Friday,False
516,2000-05-16,2000,2,5,16,Tuesday,False
517,2007-06-15,2007,2,6,15,Friday,False
518,1996-10-25,1996,4,10,25,Friday,False
519,2000-10-31,2000,4,10,31,Tuesday,False
520,1999-06-22,1999,2,6,22,Tuesday,False
521,2008-03-07,2008,1,3,7,Friday,False
522,2007-08-17,2007,3,8,17,Friday,False
523,2013-06-21,2013,2,6,21,Friday,False
524,2008-08-07,2008,3,8,7,Thursday,False
525,2006-09-12,2006,3,9,12,Tuesday,False
526,1997-11-21,1997,4,11,21,Friday,False
527,2008-04-04,2008,2,4,4,Friday,False
528,2005-12-15,2005,4,12,15,Thursday,False
529,2002-04-15,2002,2,4,15,Monday,False
530,2015-06-26,2015,2,6,26,Friday,False
